117,23,10,14
117,23,10,14
117,24,10,13
116,24,10,14
116,23,10,15
115,24,10,14
114,23,11,15
113,23,11,15
113,23,9,15
112,23,10,15
111,23,10,15
109,23,11,15
109,24,10,15
107,24,11,15
106,24,11,15
105,24,10,15
104,24,10,16
103,25,9,14
100,24,10,16
98,25,10,14
97,24,10,16
95,25,12,14
93,26,12,13
91,26,11,12
90,25,10,13
87,24,10,13
85,24,12,13
84,24,12,12
82,23,12,13
80,22,12,13
78,23,12,13
76,23,13,13
75,24,12,13
73,23,12,13
72,22,13,14
70,23,13,14
68,23,13,14
66,23,13,14
64,24,12,13
63,23,13,14
62,23,10,14
60,23,12,14
58,23,13,13
56,23,12,13
55,22,11,14
53,21,11,14
51,22,13,13
49,22,12,14
48,21,12,14
47,21,10,14
44,20,11,15
42,21,11,15
41,22,11,14
38,22,10,14
37,22,11,14
35,22,10,14
33,22,11,14
31,23,12,14
29,22,12,14
28,23,11,14
26,22,12,14
25,21,11,14
23,20,13,15
22,20,12,15
22,19,11,15
20,19,13,15
21,19,11,15
20,19,12,15
20,19,12,16
19,19,13,17
19,19,13,17
21,19,11,17
19,19,14,18
21,20,12,17
21,20,12,17
21,20,13,17
22,20,13,17
22,20,12,17
22,20,13,18
22,20,13,17
